0;01000011;
1;10100001;1
2;11010000;1
3;11101000;0
4;11110100;0
5;01111010;0
6;00111101;0
7;00011110;1
8;10001111;0
9;11000111;1
10;01100011;1
11;10110001;1
12;01011000;1
13;00101100;0
14;00010110;0
15;00001011;0
16;00000101;1
17;00000010;1
18;00000001;0
19;10000000;1
20;01000000;0
21;00100000;0
22;00010000;0
23;10001000;0
24;11000100;0
25;11100010;0
26;01110001;0
27;00111000;1
28;00011100;0
29;10001110;0
30;01000111;0
31;00100011;1
32;10010001;1
33;01001000;1
34;10100100;0
35;11010010;0
36;11101001;0
37;01110100;1
38;00111010;0
39;00011101;0
40;00001110;1
41;00000111;0
42;00000011;1
43;10000001;1
44;11000000;1
45;01100000;0
46;00110000;0
47;10011000;0
48;01001100;0
49;00100110;0
50;10010011;0
51;01001001;1
52;00100100;1
53;10010010;0
54;11001001;0
55;01100100;1
56;10110010;0
57;11011001;0
58;11101100;1
59;01110110;0
60;00111011;0
61;10011101;1
62;01001110;1
63;00100111;0
64;00010011;1
65;00001001;1
66;00000100;1
67;10000010;0
68;01000001;0
69;10100000;1
70;01010000;0
71;10101000;0
72;11010100;0
73;01101010;0
74;10110101;0
75;11011010;1
76;01101101;0
77;10110110;1
78;01011011;0
79;10101101;1
80;11010110;1
81;01101011;0
82;00110101;1
83;10011010;1
84;01001101;0
85;10100110;1
86;11010011;0
87;01101001;1
88;00110100;1
89;00011010;0
90;00001101;0
91;10000110;1
92;11000011;0
93;11100001;1
94;11110000;1
95;11111000;0
96;01111100;0
97;10111110;0
98;11011111;0
99;01101111;1
